row_number,strt_lon,strt_lat,end_lon,end_lat,m,km,minutes,hours
4832,-71.096413,42.386428,-71.050699,42.357143,6618,6.618,29.43333333,0.490555556
4833,-71.096413,42.386428,-71.090188,42.362429,4098,4.098,15.35,0.255833333
4834,-71.116205,42.332799,-71.124565,42.363732,4829,4.829,19.96666667,0.332777778
4835,-71.105495,42.366426,-71.107593,42.383405,2852,2.852,10.33333333,0.172222222
4836,-71.119945,42.379011,-71.059367,42.351356,7495,7.495,29.51666667,0.491944444
4837,-71.10042,42.363562,-71.059367,42.351356,5013,5.013,21.25,0.354166667
4838,-71.105828,42.347527,-71.076472,42.366981,4990,4.99,21.5,0.358333333
4839,-71.107593,42.383405,-71.077303,42.349673,7292,7.292,27.55,0.459166667
4840,-71.123338,42.341598,-71.059367,42.351356,5967,5.967,25.71666667,0.428611111
4841,-71.099855,42.346171,-71.084105,42.362613,5403,5.403,19.93333333,0.332222222
4842,-71.056067,42.362811,-71.107593,42.383405,6208,6.208,23,0.383333333
4843,-71.118579,42.373268,-71.120526,42.333689,6360,6.36,25.16666667,0.419444444
4844,-71.120526,42.333689,-71.105884,42.350075,3358,3.358,15.55,0.259166667
4845,-71.076472,42.366981,-71.105828,42.347527,4900,4.9,18.2,0.303333333
4846,-71.118579,42.373268,-71.077303,42.349673,6371,6.371,25.76666667,0.429444444
4847,-71.076847,42.341332,-71.082578,42.345959,742,0.742,3.916666667,0.065277778
4848,-71.105884,42.350075,-71.1031,42.36507,2837,2.837,11.71666667,0.195277778
4849,-71.0441,42.3475,-71.095319,42.379637,6955,6.955,26.2,0.436666667
4850,-71.121851,42.372244,-71.123338,42.341598,4829,4.829,21.66666667,0.361111111
4851,-71.120526,42.333689,-71.055547,42.352175,6743,6.743,25.73333333,0.428888889
4852,-71.062679,42.352409,-71.066289,42.351146,411,0.411,3.916666667,0.065277778
4853,-71.062679,42.352409,-71.0496,42.3511,1298,1.298,5.8,0.096666667
4854,-71.118579,42.373268,-71.062679,42.352409,7675,7.675,28.43333333,0.473888889
4855,-71.1031,42.36507,-71.101427,42.374035,1404,1.404,6.5,0.108333333
4856,-71.065928,42.325941,-71.105495,42.366426,6250,6.25,27.6,0.46
4857,-71.123338,42.341598,-71.129791,42.36337,2974,2.974,12.18333333,0.203055556
4858,-71.085954,42.348717,-71.123338,42.341598,3629,3.629,16.71666667,0.278611111
4859,-71.065928,42.325941,-71.090179,42.341814,3926,3.926,15.81666667,0.263611111
4860,-71.082578,42.345959,-71.094734,42.331567,2336,2.336,9.466666667,0.157777778
4861,-71.07131,42.360877,-71.084105,42.362613,3077,3.077,11.35,0.189166667
4862,-71.105495,42.366426,-71.10042,42.363562,525,0.525,1.55,0.025833333
4863,-71.084105,42.362613,-71.0833545,42.3281898,6809,6.809,31.18333333,0.519722222
4864,-71.096413,42.386428,-71.089886,42.350851,6927,6.927,25.65,0.4275
4865,-71.056067,42.362811,-71.120886,42.373231,6894,6.894,26.61666667,0.443611111
